City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
90,Castro,BR,60.13,moderate rain,-24.7911,-50.0119,CHACARA BAILLY
91,Touros,BR,78.04,clear sky,-5.1989,-35.4608,INN NEW HORIZON
92,Changtu,CN,49.23,clear sky,42.7788,124.0955,Ming Yang Inn
95,Kupang,ID,77.99,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
96,High Level,CA,44.71,few clouds,58.5169,-117.136,Days Inn by Wyndham High Level
97,Quiniput,PH,75.11,overcast clouds,7.1783,122.221,Lei's Resort
98,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
99,Narsaq,GL,30.42,clear sky,60.9167,-46.05,Sleep In Narsaq
100,Port Alfred,ZA,62.19,light rain,-33.5906,26.891,The Halyards Hotel & Spa
101,San Quintin,MX,69.93,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
102,Ponta Do Sol,PT,73.0,overcast clouds,32.6667,-17.1,Hotel do Campo
103,Kaeo,NZ,59.32,scattered clouds,-35.1,173.7833,Bushido Lodge
104,Chuy,UY,55.72,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
106,Bolobo,CD,72.27,moderate rain,-2.1667,16.2333,Hotel de Stephen
107,Pacific Grove,US,69.21,overcast clouds,36.6177,-121.9166,Lovers Point Inn
108,Progreso,MX,87.12,light rain,21.2833,-89.6667,Playa Linda Hotel
109,Tarpon Springs,US,89.11,scattered clouds,28.1461,-82.7568,"Innisbrook, A Salamander Golf and Spa Resort"
110,Hermanus,ZA,58.8,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
111,Glen Ellyn,US,60.55,clear sky,41.8775,-88.067,"Crowne Plaza Lombard Downers Grove, an IHG Hotel"
112,Lorengau,PG,82.74,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
113,Turukhansk,RU,30.61,overcast clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
114,Maumere,ID,79.16,overcast clouds,-8.6199,122.2111,Sylvia Hotel
115,Inongo,CD,72.25,light rain,-1.95,18.2667,Hotel Du Lac
116,Emerald,AU,68.34,few clouds,-23.5333,148.1667,Emerald Inn
117,Port-Gentil,GA,75.16,thunderstorm with light rain,-0.7193,8.7815,Fengshui Residence
119,Riyadh,SA,77.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
121,Gigmoto,PH,78.91,clear sky,13.7796,124.39,Cj's Travellers Inn
122,Sebring,US,87.51,clear sky,27.4956,-81.4409,La Quinta Inn & Suites by Wyndham Sebring
123,Mango,US,89.19,overcast clouds,27.9797,-82.3065,Hilton Garden Inn Tampa East/Brandon
124,Reconquista,AR,76.14,clear sky,-29.15,-59.65,Grand Hotel
125,Ribeira Grande,PT,68.77,broken clouds,38.5167,-28.7,Quinta da Meia Eira
126,Kavaratti,IN,81.25,broken clouds,10.5669,72.642,Green leaf
127,Sabang,ID,81.12,overcast clouds,5.8933,95.3214,Hotel Citra
129,Karpogory,RU,41.4,overcast clouds,64.0019,44.4451,Hotel Pinezhskaya Sloboda
130,Espanola,US,77.59,clear sky,35.9911,-106.0806,Santa Claran Hotel Casino
132,Ajdabiya,LY,74.26,clear sky,30.7554,20.2263,Almadina Hotel
