City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
209,Codrington,AU,-38.2667,141.9667,49.35,90,100,10.4,overcast clouds
210,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,73.92,95,100,2.26,overcast clouds
211,Mecca,SA,21.4267,39.8261,81.7,56,20,0.92,few clouds
212,Pudozh,RU,61.8099,36.5345,44.89,93,100,6.04,overcast clouds
213,Ayan,RU,56.45,138.1667,38.52,65,51,5.39,broken clouds
214,Mount Isa,AU,-20.7333,139.5,69.57,56,55,6.91,broken clouds
215,Dicabisagan,PH,17.0818,122.4157,76.64,89,84,6.46,broken clouds
216,Prieska,ZA,-29.6641,22.7474,74.79,13,67,7.0,broken clouds
217,Hofn,IS,64.2539,-15.2082,39.99,62,44,24.43,scattered clouds
218,Sinnamary,GF,5.3833,-52.95,81.28,81,54,11.81,broken clouds
219,Pathein,MM,16.7833,94.7333,76.23,94,67,6.31,broken clouds
220,Mapiripan,CO,2.8892,-72.1256,83.7,76,94,3.91,overcast clouds
221,Zheleznodorozhnyy,RU,55.7503,38.0042,43.21,76,50,3.49,scattered clouds
222,Abu Dhabi,AE,24.4667,54.3667,84.22,78,0,4.61,clear sky
223,Novoseleznevo,RU,55.6821,69.2056,50.09,63,96,6.26,overcast clouds
224,Coquimbo,CL,-29.9533,-71.3436,60.53,77,20,13.8,few clouds
225,Roald,NO,62.5833,6.1333,51.33,61,40,8.05,scattered clouds
226,Rairangpur,IN,22.2676,86.1751,72.27,89,11,0.22,few clouds
227,Port Hedland,AU,-20.3167,118.5667,60.85,82,6,4.61,clear sky
228,Baghdad,IQ,33.3406,44.4009,73.31,35,0,3.44,clear sky
229,Marsa Matruh,EG,31.3525,27.2453,73.6,64,0,13.8,clear sky
230,Novikovo,RU,51.1537,37.8879,38.89,71,6,1.59,clear sky
231,Sovetskaya Gavan,RU,48.9723,140.2878,46.0,78,100,3.13,overcast clouds
232,Dakar,SN,14.6937,-17.4441,82.53,78,0,6.91,clear sky
233,Klaksvik,FO,62.2266,-6.589,43.72,88,100,27.38,light rain
234,Lesnoy,RU,57.6198,63.0784,43.11,91,31,6.2,scattered clouds
235,Evensk,RU,61.95,159.2333,20.88,78,78,9.06,broken clouds
236,Carutapera,BR,-1.195,-46.02,80.74,75,70,9.28,broken clouds
237,Soure,BR,-0.7167,-48.5233,81.95,75,95,15.26,overcast clouds
238,Makakilo City,US,21.3469,-158.0858,85.44,59,0,9.22,clear sky
