City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
197,Hasaki,JP,35.7333,140.8333,70.21,72,100,17.72,light rain
198,Pipri,IN,19.8,75.5333,69.4,70,54,7.47,broken clouds
199,Mecca,SA,21.4267,39.8261,81.7,56,20,0.92,few clouds
200,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,86,4,12.33,clear sky
201,Khatanga,RU,71.9667,102.5,30.51,96,100,17.02,light snow
202,San Patricio,US,28.017,-97.5169,90.32,46,57,12.5,broken clouds
203,Bredasdorp,ZA,-34.5322,20.0403,57.7,83,100,10.4,light rain
204,Petatlan,MX,17.5167,-101.2667,87.6,87,98,4.18,moderate rain
205,Chimore,BO,-16.9833,-65.1333,74.39,91,96,1.88,overcast clouds
206,Tasiilaq,GL,65.6145,-37.6368,28.56,60,3,6.96,clear sky
207,Krasnogvardeyskiy,RU,57.3793,62.3195,45.09,89,80,5.19,broken clouds
208,Rocha,UY,-34.4833,-54.3333,53.17,62,22,9.62,few clouds
209,Marsa Matruh,EG,31.3525,27.2453,72.95,65,91,10.65,overcast clouds
210,Puerto Madryn,AR,-42.7692,-65.0385,69.03,26,3,13.98,clear sky
211,Staryy Nadym,RU,65.6118,72.6842,35.94,83,99,11.1,overcast clouds
212,Tucuma,BR,-0.1833,-50.05,82.42,73,87,10.65,moderate rain
213,Dongtai,CN,32.8523,120.3095,54.93,88,1,5.06,clear sky
214,Acajutla,SV,13.5928,-89.8275,82.22,78,100,4.03,overcast clouds
215,Arman,RU,59.7,150.1667,23.99,68,98,7.31,overcast clouds
216,Nsanje,MW,-16.92,35.262,78.33,52,0,3.98,clear sky
217,Ulvik,NO,60.5672,6.9187,43.18,100,100,2.06,light rain
218,Tukrah,LY,32.5341,20.5791,72.27,73,73,17.54,light rain
219,Lata,PT,40.1629,-8.3327,63.07,97,25,1.7,scattered clouds
220,Asau,RO,46.4333,26.4,49.28,93,91,2.73,overcast clouds
221,Pangai,TO,-19.8,-174.35,78.91,89,100,12.66,thunderstorm with light rain
222,Srikakulam,IN,18.3,83.9,76.35,90,78,7.07,broken clouds
223,Moerai,PF,-22.4333,-151.3333,72.82,77,26,5.37,scattered clouds
224,Muros,ES,42.7762,-9.0603,65.08,90,22,7.07,few clouds
225,Pandan,PH,14.0453,124.1694,79.2,86,15,6.71,few clouds
226,Puerto Leguizamo,CO,-0.1934,-74.7819,89.46,50,87,4.7,overcast clouds
227,Valley City,US,46.9233,-98.0032,43.32,52,100,24.16,overcast clouds
228,Starkville,US,33.4504,-88.8184,78.78,29,0,6.91,clear sky
229,Linxia,CN,35.6003,103.2064,47.66,51,100,0.58,overcast clouds
230,Maputo,MZ,-25.9653,32.5892,76.68,78,40,12.66,scattered clouds
231,Samarai,PG,-10.6167,150.6667,81.52,82,66,10.11,broken clouds
232,Ritchie,ZA,-29.038,24.6028,73.53,11,28,11.83,scattered clouds
233,Bengkulu,ID,-3.8004,102.2655,74.34,90,100,3.51,overcast clouds
234,Barsovo,RU,61.1667,73.1667,39.33,79,100,11.07,overcast clouds
235,Medicine Hat,CA,50.0501,-110.6683,70.23,32,100,23.02,overcast clouds
236,Manacor,ES,39.5696,3.2096,69.84,84,2,7.23,clear sky
237,Fairbanks,US,64.8378,-147.7164,28.81,77,0,3.44,clear sky
238,Esperance,AU,-33.8667,121.9,50.43,86,0,8.08,clear sky
239,Shelburne,CA,44.0787,-80.2041,53.24,38,49,12.73,scattered clouds
240,Husavik,IS,66.0449,-17.3389,35.96,95,100,20.89,overcast clouds
241,Pevek,RU,69.7008,170.3133,13.14,90,100,10.51,overcast clouds
242,Weyburn,CA,49.6668,-103.8511,50.22,37,5,12.66,clear sky
243,Buala,SB,-8.145,159.5921,82.0,68,100,2.01,overcast clouds
244,Avarua,CK,-21.2078,-159.775,80.65,74,75,11.5,broken clouds
245,Mana,GF,5.6592,-53.7767,80.38,83,93,10.31,moderate rain
246,Trincomalee,LK,8.5711,81.2335,78.4,82,95,9.48,overcast clouds
247,Mocuba,MZ,-16.8392,36.9856,72.32,72,0,3.36,clear sky
